ID,Mission Date,Operation,Country,SERVICE,Unit,Mission design series aircraft,Mission Number,Time of Day,Departure,Number of Planes Attacking,Call Sign,Weapons Expendend,Weapon Type,Weapon Weight,Bomb Load,Latitude,Longitude,Target Location,Target Country,Target Type,Launching Base,Base Latitude,Base Longitude,Bomb Damage Assessment,Enemy Action,Route Details,ISR COLLECTED,Friendly Casualties,WEATHER,Altitude,Date of Record
1,10/16/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,8,,,,1792,224,49.233333,7,Saarbrucken,Germany,Burbach Works-Blast Fum,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
2,10/20/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,49.266667,6.783333,Wadgassen & Bous,Germany,Factory & Railways,Ochey,48.58129185,5.95351696,,,,,1,,10000,6/10/2016
3,10/23/1917,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,12,,,,3335,277.9166667,49.233333,7,"""Saarbrucken, etc""",Germany,"""Railway Jtn, Stn.Trains""",Ochey,48.58129185,5.95351696,,,,,2,,10000,6/10/2016
4,10/23/1917,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,7,,,,9408,1344,49.233333,7,"""Saarbrucken, etc""",Germany,Burbach Works,Villeseneux,48.78108005,4.1631317,,,,,2,,10000,6/10/2016
5,10/28/1917,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,3,,,,915,305,49.233333,7,Saarbrucken & others,Germany,"""Railways, Brdg,Trains""",Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
6,10/29/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2712,226,49.2037161,7.6047455,Pirmasens,Germany,Boot Factory,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
7,10/29/1917,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,10,,,,3075,307.5,,,Saar Valley,Germany,"""Fact, Fum, SteelWrks, Tm""",Ochey,48.58129185,5.95351696,,,,,0,,9999,6/10/2016
8,10/31/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,6,,,,1362,227,49.4446997,7.7690041,Kaiserslautern,Germany,Munitions Factory,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
9,12/4/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2440,221.8181818,49.233333,7,Saarbrucken & Zweibrucken,Germany,"""Factory, Town, Rail Station""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
10,12/5/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2406,218.7272727,49.233333,7,Saarbrucken,Germany,Burbach Works,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
11,12/10/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,7,,,,1594,227.7142857,49.2037161,7.6047455,Pirmasens,Germany,Rail Junction,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
12,12/23/1917,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,10,,,,2252,225.2,49.488333,8.464722,Mannheim,Germany,"""Lanz Co, Rail Jtn, BASF""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
13,1/2/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,5,,,,1190,238,49.115461,6.175875,"""Metz, Mazieres, Woippy""",France,Furnaces & Railroads,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
14,1/3/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,8,,,,3020,377.5,49.119666,6.176905,5 Sites w/i 20 nm of Metz,France,"""Rail, Fact, Furnace""",Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
15,1/4/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,6,,,,2260,376.6666667,49.16768,5.848631,Conflans & Mars,France,Rail Jtn & Station,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
16,1/4/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,1,,,,1344,1344,49.066651,6.308383,Courcelles,France,Rail Junction,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
17,1/13/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2752,229.3333333,49.0080848,8.4037563,Karlsruhe,Germany,"""Munition Works, Railways""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
18,1/13/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,6,,,,2195,365.8333333,49.356794,6.167606,Thionville,France,"""Steel Works, Rail Jtn""",Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
19,1/15/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,2,,,,560,280,,,Orny,Switzerland,Rail Sidings & Searchlite,Ochey,48.58129185,5.95351696,,,,,0,,9999,6/10/2016
20,1/20/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,11,,,,3510,319.0909091,49.356794,6.167606,"""Thionville, Bemsdorf, Falknbg""",France,Factories & Rail Targets,Ochey,48.58129185,5.95351696,,,,,1,,10000,6/10/2016
21,1/20/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,1,,,,1344,1344,49.011487,6.030617,Arnaville,France,Railway,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
22,1/23/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,10,,,,2594,259.4,45.538718,4.675828,"""Treves, Thionville, etc""",France,"""Towns, Steel Works""",Ochey,48.58129185,5.95351696,,,,,1,,10000,6/10/2016
23,1/23/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,2,,,,2688,1344,49.488333,8.464722,Mannheim,Germany,BASF,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
